Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.12391,0.084904,0.0506,0,0,0,2.9143,0.0061741,-7.1545E-07,-1.2654E-05,0.0055345,-3.5133E-07,0.01105,0,0,0,0,0,0,package://lide/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://lide/meshes/base_link.STL,,Body_long-1,body,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LFS,0.04556,-0.054693,0.0029762,0,0,0,0.072793,2.2093E-05,-1.6485E-08,-1.5645E-07,1.6263E-05,2.9641E-09,1.8084E-05,0,0,0,0,0,0,package://lide/meshes/LFS.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://lide/meshes/LFS.STL,,Sus_L-1,Origin_LFS,Axis_LFS,LFS,prismatic,-0.054044,0.18241,0.0265,1.5708,0,1.5708,base_link,0,1,0,0,0,0,0,,,,,,,,
LFW,0.015,0,3.4694E-18,0,0,0,0.76708,0.0011643,4.4576E-22,-1.8299E-20,0.00063966,-1.3553E-20,0.00063966,0,0,0,0,0,0,package://lide/meshes/LFW.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://lide/meshes/LFW.STL,,wheel-1,Origin_LFW,Axis_LFW,LFW,continuous,0.063346,-0.069801,0.015044,-1.6264,0,0,LFS,1,0,0,3.1,7,,,,,,,,,,
RFS,-0.019183,-0.054725,0.052006,0,0,0,0.072793,2.2093E-05,-1.6485E-08,1.5645E-07,1.6263E-05,-2.9641E-09,1.8084E-05,0,0,0,0,0,0,package://lide/meshes/RFS.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://lide/meshes/RFS.STL,,Sus_R-1,Origin_RFS,Axis_RFS,RFS,prismatic,-0.10307,-0.042784,0.0265,1.5708,0,1.5708,base_link,0,1,0,0,0,0,0,,,,,,,,
RFW,-0.015,0,0,0,0,0,0.76708,0.0011643,-1.2315E-36,4.6064E-39,0.00063966,8.0046E-39,0.00063966,0,0,0,0,0,0,package://lide/meshes/RFW.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://lide/meshes/RFW.STL,,wheel-2,Origin_RFW,Axis_RFW,RFW,continuous,-0.036969,-0.069799,0.064073,0,0,0,RFS,1,0,0,3.1,7,,,,,,,,,,
LBS,-4.7988E-10,-0.036036,-1.1682E-09,0,0,0,0.083536,7.7297E-05,-8.6048E-13,1.4059E-13,5.1382E-05,-5.0656E-12,7.7395E-05,0,0,0,0,0,0,package://lide/meshes/LBS.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://lide/meshes/LBS.STL,,ball_sus-2,Origin_LBS,Axis_LBS,LBS,prismatic,-0.202,0.228,0,1.5708,0,1.5708,base_link,0,1,0,0,0,0,0,,,,,,,,
LBW,0,5.5511E-17,0,0,0,0,0.30079,0.00010856,1.7205E-55,1.8628E-40,0.00010991,-7.7486E-40,0.00010856,0,0,0,0,0,0,package://lide/meshes/LBW.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://lide/meshes/LBW.STL,,Alba-1,Origin_LBW,Axis_LBW,LBW,continuous,0,-0.0683,0,3.1416,0,1.5708,LBS,0,1,0,,,,,,,,,,,,
RBS,-4.7988E-10,-0.036036,-1.1682E-09,0,0,0,0.083536,7.7297E-05,-8.6048E-13,1.4059E-13,5.1382E-05,-5.0656E-12,7.7395E-05,0,0,0,0,0,0,package://lide/meshes/RBS.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://lide/meshes/RBS.STL,,ball_sus-1,Origin_RBS,Axis_RBS,RBS,prismatic,-0.202,-0.062003,0,1.5708,0,1.5708,base_link,0,1,0,0,0,0,0,,,,,,,,
RBW,6.9389E-18,-6.9389E-18,0,0,0,0,0.30079,0.00010856,0,2.6461E-40,0.00010991,-7.7486E-40,0.00010856,0,0,0,0,0,0,package://lide/meshes/RBW.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://lide/meshes/RBW.STL,,Alba-2,Origin_RBW,Axis_RBW,RBW,continuous,0,-0.0683,0,0,0,-1.5708,RBS,0,1,0,,,,,,,,,,,,
fcam,-0.011554,-2.6443E-06,0.0012903,0,0,0,0.043612,2.3571E-05,-1.0184E-09,2.1759E-08,4.2948E-06,-8.8502E-10,2.2106E-05,0,0,0,0,0,0,package://lide/meshes/fcam.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://lide/meshes/fcam.STL,,Webcam_C920-2,fcam,,fcam,fixed,-0.0038823,0.083,0.12982,0,0.2618,0,base_link,0,0,0,,,,,,,,,,,,
